ip,protocol,port,state,service,version,vuln_id,vuln_title,cvss_score,vuln_desc
192.168.252.209,tcp,2170,no-response,,,,,,
192.168.252.209,tcp,2179,no-response,,,,,,
192.168.252.209,tcp,2190,no-response,,,,,,
192.168.252.209,tcp,2191,no-response,,,,,,
192.168.252.209,tcp,2196,no-response,,,,,,
192.168.252.209,tcp,2200,no-response,,,,,,
192.168.252.209,tcp,2222,no-response,,,,,,
192.168.252.209,tcp,2251,no-response,,,,,,
192.168.252.209,tcp,2260,no-response,,,,,,
192.168.252.209,tcp,2288,no-response,,,,,,
192.168.252.209,tcp,2301,no-response,,,,,,
192.168.252.209,tcp,2323,no-response,,,,,,
192.168.252.209,tcp,2366,no-response,,,,,,
192.168.252.209,tcp,2381,no-response,,,,,,
192.168.252.209,tcp,2382,no-response,,,,,,
192.168.252.209,tcp,2383,no-response,,,,,,
192.168.252.209,tcp,2393,no-response,,,,,,
192.168.252.209,tcp,2394,no-response,,,,,,
192.168.252.209,tcp,2399,no-response,,,,,,
192.168.252.209,tcp,2401,no-response,,,,,,
192.168.252.209,tcp,2492,no-response,,,,,,
192.168.252.209,tcp,2500,no-response,,,,,,
192.168.252.209,tcp,2522,no-response,,,,,,
192.168.252.209,tcp,2525,no-response,,,,,,
192.168.252.209,tcp,2557,no-response,,,,,,
192.168.252.209,tcp,2601,no-response,,,,,,
192.168.252.209,tcp,2602,no-response,,,,,,
192.168.252.209,tcp,2604,no-response,,,,,,
192.168.252.209,tcp,2605,no-response,,,,,,
192.168.252.209,tcp,2607,no-response,,,,,,
192.168.252.209,tcp,2608,no-response,,,,,,
192.168.252.209,tcp,2638,no-response,,,,,,
192.168.252.209,tcp,2701,no-response,,,,,,
192.168.252.209,tcp,2702,no-response,,,,,,
192.168.252.209,tcp,2710,no-response,,,,,,
192.168.252.209,tcp,2717,no-response,,,,,,
192.168.252.209,tcp,2718,no-response,,,,,,
192.168.252.209,tcp,2725,no-response,,,,,,
192.168.252.209,tcp,2800,no-response,,,,,,
192.168.252.209,tcp,2809,no-response,,,,,,
192.168.252.209,tcp,2811,no-response,,,,,,
192.168.252.209,tcp,2869,no-response,,,,,,
192.168.252.209,tcp,2875,no-response,,,,,,
192.168.252.209,tcp,2909,no-response,,,,,,
192.168.252.209,tcp,2910,no-response,,,,,,
192.168.252.209,tcp,2920,no-response,,,,,,
192.168.252.209,tcp,2967,no-response,,,,,,
192.168.252.209,tcp,2968,no-response,,,,,,
192.168.252.209,tcp,2998,no-response,,,,,,
192.168.252.209,tcp,3000,no-response,,,,,,
192.168.252.209,tcp,3001,no-response,,,,,,
192.168.252.209,tcp,3003,no-response,,,,,,
192.168.252.209,tcp,3005,no-response,,,,,,
192.168.252.209,tcp,3006,no-response,,,,,,
192.168.252.209,tcp,3011,no-response,,,,,,
192.168.252.209,tcp,3017,no-response,,,,,,
192.168.252.209,tcp,3030,no-response,,,,,,
192.168.252.209,tcp,3031,no-response,,,,,,
192.168.252.209,tcp,3052,no-response,,,,,,
192.168.252.209,tcp,3071,no-response,,,,,,
192.168.252.209,tcp,3077,no-response,,,,,,
192.168.252.209,tcp,3128,no-response,,,,,,
192.168.252.209,tcp,3168,no-response,,,,,,
192.168.252.209,tcp,3211,no-response,,,,,,
192.168.252.209,tcp,3221,no-response,,,,,,
192.168.252.209,tcp,3260,no-response,,,,,,
192.168.252.209,tcp,3261,no-response,,,,,,
192.168.252.209,tcp,3268,no-response,,,,,,
192.168.252.209,tcp,3269,no-response,,,,,,
192.168.252.209,tcp,3283,no-response,,,,,,
192.168.252.209,tcp,3300,no-response,,,,,,
192.168.252.209,tcp,3301,no-response,,,,,,
192.168.252.209,tcp,3306,open,mysql,,,,,
192.168.252.209,tcp,3322,no-response,,,,,,
192.168.252.209,tcp,3323,no-response,,,,,,
192.168.252.209,tcp,3324,no-response,,,,,,
192.168.252.209,tcp,3325,no-response,,,,,,
192.168.252.209,tcp,3333,no-response,,,,,,
192.168.252.209,tcp,3351,no-response,,,,,,
192.168.252.209,tcp,3367,no-response,,,,,,
192.168.252.209,tcp,3369,no-response,,,,,,
192.168.252.209,tcp,3370,no-response,,,,,,
192.168.252.209,tcp,3371,no-response,,,,,,
192.168.252.209,tcp,3372,no-response,,,,,,
192.168.252.209,tcp,3389,no-response,,,,,,
192.168.252.209,tcp,3390,no-response,,,,,,
192.168.252.209,tcp,3404,no-response,,,,,,
192.168.252.209,tcp,3476,no-response,,,,,,
192.168.252.209,tcp,3493,no-response,,,,,,
192.168.252.209,tcp,3517,no-response,,,,,,
192.168.252.209,tcp,3527,no-response,,,,,,
192.168.252.209,tcp,3546,no-response,,,,,,
192.168.252.209,tcp,3551,no-response,,,,,,
192.168.252.209,tcp,3580,no-response,,,,,,
192.168.252.209,tcp,3659,no-response,,,,,,
192.168.252.209,tcp,3689,no-response,,,,,,
192.168.252.209,tcp,3690,no-response,,,,,,
192.168.252.209,tcp,3703,no-response,,,,,,
192.168.252.209,tcp,3737,no-response,,,,,,
192.168.252.209,tcp,3766,no-response,,,,,,
192.168.252.209,tcp,3784,no-response,,,,,,
192.168.252.209,tcp,3800,no-response,,,,,,
192.168.252.209,tcp,3801,no-response,,,,,,
192.168.252.209,tcp,3809,no-response,,,,,,
192.168.252.209,tcp,3814,no-response,,,,,,
192.168.252.209,tcp,3826,no-response,,,,,,
192.168.252.209,tcp,3827,no-response,,,,,,
192.168.252.209,tcp,3828,no-response,,,,,,
192.168.252.209,tcp,3851,no-response,,,,,,
192.168.252.209,tcp,3869,no-response,,,,,,
192.168.252.209,tcp,3871,no-response,,,,,,
192.168.252.209,tcp,3878,no-response,,,,,,
192.168.252.209,tcp,3880,no-response,,,,,,
192.168.252.209,tcp,3889,no-response,,,,,,
192.168.252.209,tcp,3905,no-response,,,,,,
192.168.252.209,tcp,3914,no-response,,,,,,
192.168.252.209,tcp,3918,no-response,,,,,,
